n,rho_topo,k,rounds,seed,initial_gini,final_gini,gini_change,clustering_coeff,path_length,bridge_density,final_max_phi,final_mean_phi,final_std_phi
100,0.0,4,200,42,0.3549,0.0587,-0.2962,0.5,12.8788,0.0,3614.6263,3003.4834,307.9531
100,0.1,4,200,42,0.3883,0.0858,-0.3025,0.383,4.9065,0.0,4174.6616,3014.6683,472.8846
100,0.2,4,200,42,0.3909,0.1145,-0.2764,0.259,4.1414,0.0,4534.8124,3049.4419,632.6578
100,0.3,4,200,42,0.3101,0.1531,-0.1571,0.2026,3.8063,0.0,5271.0412,3016.8851,838.7962
100,0.5,4,200,42,0.2612,0.1526,-0.1086,0.097,3.6347,0.0,6287.6597,3149.6617,883.321
100,0.8,4,200,42,0.3159,0.1852,-0.1306,0.0216,3.4404,0.0,7368.9751,3275.1753,1110.374
100,1.0,4,200,42,0.2898,0.1911,-0.0988,0.0225,3.4234,0.0,6400.5232,2845.4986,990.5361
500,0.0,4,200,42,0.3078,0.0627,-0.245,0.5,62.8758,0.0,4227.6831,3027.9188,353.2833
500,0.1,4,200,42,0.3227,0.0783,-0.2444,0.3906,8.3409,0.0,4665.0144,3142.6008,460.3659
500,0.2,4,200,42,0.3151,0.1092,-0.2059,0.279,6.2511,0.0,5452.0234,3091.0362,636.6327
500,0.3,4,200,42,0.3309,0.1427,-0.1882,0.1954,5.5113,0.0,6341.0934,3163.3772,838.9968
500,0.5,4,200,42,0.2295,0.1634,-0.0661,0.0845,5.0483,0.0,7742.6848,3099.8496,940.8615
500,0.8,4,200,42,0.3121,0.1954,-0.1167,0.0065,4.7594,0.0,7066.9236,3143.7007,1119.8128
500,1.0,4,200,42,0.2844,0.1844,-0.1,0.0049,4.7268,0.0,8836.807,3215.1936,1112.2566
1000,0.0,4,200,42,0.3227,0.0603,-0.2624,0.5,125.3754,0.0,4023.4236,3189.9562,338.4371
1000,0.1,4,200,42,0.326,0.0818,-0.2442,0.3879,9.2265,0.0,4968.6471,3152.6254,482.8659
1000,0.2,4,200,42,0.3273,0.1068,-0.2205,0.2815,7.0113,0.0,5606.9698,3192.6039,646.5566
1000,0.3,4,200,42,0.3616,0.1295,-0.2321,0.1979,6.2835,0.0,5576.092,3153.1552,757.926
1000,0.5,4,200,42,0.2973,0.1648,-0.1325,0.0737,5.618,0.0,6910.1422,3070.1206,926.8382
1000,0.8,4,200,42,0.3232,0.1902,-0.133,0.0102,5.3508,0.0,7155.8164,3182.5814,1097.6572
1000,1.0,4,200,42,0.3004,0.1879,-0.1125,0.0056,5.3522,0.0,9524.2708,3171.9891,1092.0431
