rho,seed,gini,gini_std,conv,round,timestamp
0.01,0,0.09108611305529846,0.0005331616441814536,True,229,2026-06-20 22:35:29
0.01,1,0.12852389623916394,0.0010107998092126844,True,204,2026-06-20 22:35:30
0.01,2,0.09043965422206401,0.0011270294508598246,True,176,2026-06-20 22:35:30
0.01,3,0.08023113511058311,0.0007819728290380601,True,227,2026-06-20 22:35:30
0.01,4,0.14233251153388649,0.0008973233569151573,True,206,2026-06-20 22:35:30
0.01,5,0.11026530196513029,0.0007131556364370433,True,207,2026-06-20 22:35:31
0.01,6,0.0984544133804166,0.0012835497780590347,True,195,2026-06-20 22:35:31
0.01,7,0.10146183350452143,0.0006442087794180146,True,221,2026-06-20 22:35:31
0.01,8,0.10783669813871222,0.000713673052393109,True,206,2026-06-20 22:35:32
0.01,9,0.10783879555598719,0.0009804723825077072,True,211,2026-06-20 22:35:32
