rho,seed,gini,gini_std,conv,round,timestamp
0.15,0,0.05287853154550959,0.0009082602434522773,True,236,2026-06-20 20:09:59
0.15,1,0.05053614341720647,0.0009865018706031684,True,267,2026-06-20 20:09:59
0.15,2,0.04674081943380326,0.0008143129100992018,True,200,2026-06-20 20:09:59
0.15,3,0.057913715539577915,0.000971416044496184,True,171,2026-06-20 20:10:00
0.15,4,0.04186270620765997,0.0006331336684481995,True,315,2026-06-20 20:10:00
0.15,5,0.05684624037363295,0.0014608745324713537,True,240,2026-06-20 20:10:00
0.15,6,0.0498019490803312,0.0008290412373058712,True,172,2026-06-20 20:10:00
0.15,7,0.05962985817090538,0.0008659846941698761,True,329,2026-06-20 20:10:01
0.15,8,0.05980803172684657,0.0015489487215980602,True,305,2026-06-20 20:10:01
0.15,9,0.07515449240872663,0.0008267334420319015,True,286,2026-06-20 20:10:01
0.25,0,0.038212109170290054,0.0005398020198383978,True,276,2026-06-20 20:10:01
0.25,1,0.053102328720255665,0.0008843004565080341,True,234,2026-06-20 20:10:02
0.25,2,0.04826388065868037,0.0009473031671970834,True,269,2026-06-20 20:10:02
0.25,3,0.047072295454793744,0.0009318682877948459,True,248,2026-06-20 20:10:02
0.25,4,0.045578889457694505,0.001072586896188359,True,216,2026-06-20 20:10:03
0.25,5,0.056355921877865756,0.0008853019244417459,True,292,2026-06-20 20:10:03
0.25,6,0.05227944725683398,0.0008469140193438205,True,262,2026-06-20 20:10:03
0.25,7,0.0408841248275833,0.0012651071865267332,True,219,2026-06-20 20:10:03
0.25,8,0.04648907858766127,0.0011616118650548553,True,271,2026-06-20 20:10:04
0.25,9,0.045278478089153085,0.0008916605542245024,True,271,2026-06-20 20:10:04
0.35,0,0.045728588425556715,0.0006857053643715855,True,285,2026-06-20 20:10:04
0.35,1,0.0584242026645887,0.001335893905319401,True,398,2026-06-20 20:10:04
0.35,2,0.04469007950867021,0.0012813347216260012,True,227,2026-06-20 20:10:05
0.35,3,0.04619716558390219,0.0010778268266054907,True,240,2026-06-20 20:10:05
0.35,4,0.053564249843170986,0.0008302273294766647,True,334,2026-06-20 20:10:05
0.35,5,0.060389815310232464,0.0009283075262620117,True,305,2026-06-20 20:10:06
0.35,6,0.05142064418062975,0.001726530612293427,True,273,2026-06-20 20:10:06
0.35,7,0.04439435737925024,0.0012589418300580372,True,285,2026-06-20 20:10:06
0.35,8,0.04633745545751444,0.0011203232744631494,True,267,2026-06-20 20:10:06
0.35,9,0.04593369782879275,0.0007208564385124094,True,270,2026-06-20 20:10:07
0.45,0,0.049509803651751394,0.0006794463905251411,True,241,2026-06-20 20:10:07
0.45,1,0.05003985930631116,0.0010774462328509114,True,374,2026-06-20 20:10:07
0.45,2,0.04223489070358921,0.0008889602953888079,True,279,2026-06-20 20:10:07
0.45,3,0.045595523793097836,0.0013022030724561887,True,239,2026-06-20 20:10:08
0.45,4,0.05409335998189735,0.0018873983834673598,True,452,2026-06-20 20:10:08
0.45,5,0.05235114952850228,0.0017112663513420506,True,221,2026-06-20 20:10:08
0.45,6,0.04807496759669516,0.0015326156895217222,True,271,2026-06-20 20:10:09
0.45,7,0.05089385110317535,0.001050333091424721,True,269,2026-06-20 20:10:09
0.45,8,0.05349965406836232,0.0011640398811640607,True,296,2026-06-20 20:10:09
0.45,9,0.046127253281695646,0.0007484138929258477,True,196,2026-06-20 20:10:09
